model,threshold,input_t1,output_t1,input_t2,output_t2
BAAI/bge-base-en-v1.5,0,8e-09,0,,
Qwen/Qwen3-235B-A22B-Instruct-2507-tput,0,2e-07,6e-06,,
Qwen/Qwen3-235B-A22B-Thinking-2507,0,6.5e-07,3e-06,,
Qwen/Qwen3-235B-A22B-fp8-tput,0,2e-07,6e-07,,
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,0,2e-06,2e-06,,
Qwen/Qwen3-Next-80B-A3B-Instruct,0,1.5e-07,1.5e-06,,
Qwen/Qwen3-Next-80B-A3B-Thinking,0,1.5e-07,1.5e-06,,
Qwen/Qwen3.5-397B-A17B,0,6e-07,3.6e-06,,
baai/bge-base-en-v1.5,0,8e-09,0,,
deepseek-ai/DeepSeek-R1,0,3e-06,7e-06,,
deepseek-ai/DeepSeek-R1-0528-tput,0,5.5e-07,2.19e-06,,
deepseek-ai/DeepSeek-V3,0,1.25e-06,1.25e-06,,
deepseek-ai/DeepSeek-V3.1,0,6e-07,1.7e-06,,
meta-llama/Llama-3.3-70B-Instruct-Turbo,0,8.8e-07,8.8e-07,,
meta-llama/Llama-3.3-70B-Instruct-Turbo-Free,0,0,0,,
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,0,2.7e-07,8.5e-07,,
meta-llama/Llama-4-Scout-17B-16E-Instruct,0,1.8e-07,5.9e-07,,
meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo,0,3.5e-06,3.5e-06,,
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,0,8.8e-07,8.8e-07,,
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,0,1.8e-07,1.8e-07,,
mistralai/Mixtral-8x7B-Instruct-v0.1,0,6e-07,6e-07,,
moonshotai/Kimi-K2-Instruct,0,1e-06,3e-06,,
moonshotai/Kimi-K2-Instruct-0905,0,1e-06,3e-06,,
moonshotai/Kimi-K2.5,0,5e-07,2.8e-06,,
openai/gpt-oss-120b,0,1.5e-07,6e-07,,
openai/gpt-oss-20b,0,5e-08,2e-07,,
zai-org/GLM-4.5-Air-FP8,0,2e-07,1.1e-06,,
zai-org/GLM-4.6,0,6e-07,2.2e-06,,
zai-org/GLM-4.7,0,4.5e-07,2e-06,,
